"state","funding","year_month"
"AL",1135711148,"2022-01"
"AK",717034371,"2022-01"
"AZ",1025628311,"2022-01"
"AR",754076243,"2022-01"
"CA",5494022066,"2022-01"
"CO",769878276,"2022-01"
"CT",794336060,"2022-01"
"DE",271719442,"2022-01"
NA,258853235,"2022-01"
"FL",2592029587,"2022-01"
"GA",1789195485,"2022-01"
"HI",299536432,"2022-01"
"ID",428346424,"2022-01"
"IL",2202798566,"2022-01"
"IN",1351621574,"2022-01"
"IA",752097213,"2022-01"
"KS",551483145,"2022-01"
"KY",998656077,"2022-01"
"LA",1159746350,"2022-01"
"ME",292406247,"2022-01"
"MD",904624136,"2022-01"
"MA",1057538628,"2022-01"
"MI",1532773711,"2022-01"
"MN",939132075,"2022-01"
"MS",703499949,"2022-01"
"MO",1373497925,"2022-01"
"MT",594906217,"2022-01"
"NE",432394258,"2022-01"
"NV",531679480,"2022-01"
"NH",266445004,"2022-01"
"NJ",1584327338,"2022-01"
"NM",537183609,"2022-01"
"NY",2658697807,"2022-01"
"NC",1512678170,"2022-01"
"ND",377745465,"2022-01"
"OH",1919351031,"2022-01"
"OK",907613189,"2022-01"
"OR",727592337,"2022-01"
"PA",2569505061,"2022-01"
NA,47020490,"2022-01"
"RI",344104764,"2022-01"
"SC",956720483,"2022-01"
"SD",422971713,"2022-01"
"TN",1227957438,"2022-01"
"TX",5343578031,"2022-01"
"UT",510396451,"2022-01"
"VT",317014677,"2022-01"
"VA",1499438296,"2022-01"
"WA",1039267462,"2022-01"
"WV",732670553,"2022-01"
"WI",1053457774,"2022-01"
"WY",388355601,"2022-01"
"AL",1160967961,"2023-01"
"AK",733726742,"2023-01"
"AZ",1049985683,"2023-01"
"AR",771312121,"2023-01"
"CA",5616208254,"2023-01"
"CO",787883181,"2023-01"
"CT",811056620,"2023-01"
"DE",277350821,"2023-01"
NA,264165037,"2023-01"
"FL",2655103711,"2023-01"
"GA",1832537410,"2023-01"
"HI",305166987,"2023-01"
"ID",437868204,"2023-01"
"IL",2250129111,"2023-01"
"IN",1383342389,"2023-01"
"IA",768458085,"2023-01"
"KS",564063481,"2023-01"
"KY",1021128611,"2023-01"
"LA",1183111312,"2023-01"
"ME",298551460,"2023-01"
"MD",924735113,"2023-01"
"MA",1077757412,"2023-01"
"MI",1567824375,"2023-01"
"MN",960840129,"2023-01"
"MS",712509812,"2023-01"
"MO",1405013473,"2023-01"
"MT",608565114,"2023-01"
"NE",442016586,"2023-01"
"NV",543767872,"2023-01"
"NH",271945376,"2023-01"
"NJ",1617566438,"2023-01"
"NM",549408761,"2023-01"
"NY",2714577528,"2023-01"
"NC",1548003284,"2023-01"
"ND",386010391,"2023-01"
"OH",1964813284,"2023-01"
"OK",928726370,"2023-01"
"OR",744231862,"2023-01"
"PA",2624822928,"2023-01"
NA,47915577,"2023-01"
"RI",351385309,"2023-01"
"SC",979012552,"2023-01"
"SD",432359994,"2023-01"
"TN",1256554233,"2023-01"
"TX",5473439501,"2023-01"
"UT",521956240,"2023-01"
"VT",323771127,"2023-01"
"VA",1534295136,"2023-01"
"WA",1061835481,"2023-01"
"WV",749907732,"2023-01"
"WI",1078506444,"2023-01"
"WY",396884068,"2023-01"
